date,expiration_date,ticker,stock_weight,put_call,index_name,price
10/20/2025,11/21/2025,ABBV,0.01779805,C,SPATI,210.01
10/20/2025,11/21/2025,ABT,0.015136111,C,SPATI,127.39
10/20/2025,11/21/2025,ADM,0.016881866,C,SPATI,46.1
10/20/2025,11/21/2025,ADP,0.01358831,C,SPATI,295.32
10/20/2025,11/21/2025,AFL,0.015554212,C,SPATI,108.24
10/20/2025,11/21/2025,ALB,0.016299043,C,SPATI,77.56
10/20/2025,11/21/2025,AMCR,0.012354118,C,SPATI,9.81
10/20/2025,11/21/2025,AOS,0.013948245,C,SPATI,66.5
10/20/2025,11/21/2025,APD,0.012603455,C,SPATI,291.65
10/20/2025,11/21/2025,ATO,0.016548853,C,SPATI,148.63
10/20/2025,11/21/2025,BDX,0.015235329,C,SPATI,230.23
10/20/2025,11/21/2025,BEN,0.013334313,C,SPATI,19.87
10/20/2025,11/21/2025,BF/B,0.013635752,C,SPATI,34.65
10/20/2025,11/21/2025,BRO,0.012654168,C,SPATI,118.52
10/20/2025,11/21/2025,CAH,0.014619833,C,SPATI,131.89
10/20/2025,11/21/2025,CAT,0.018155035,C,SPATI,335.78
10/20/2025,11/21/2025,CB,0.01468675,C,SPATI,291.43
10/20/2025,11/21/2025,CHD,0.013456295,C,SPATI,107.15
10/20/2025,11/21/2025,CHRW,0.018267783,C,SPATI,99.95
10/20/2025,11/21/2025,CINF,0.01530989,C,SPATI,145.62
10/20/2025,11/21/2025,CL,0.013234038,C,SPATI,90.3
10/20/2025,11/21/2025,CLX,0.013477495,C,SPATI,144.84
10/20/2025,11/21/2025,CTAS,0.012485951,C,SPATI,191.17
10/20/2025,11/21/2025,CVX,0.014533537,C,SPATI,156.21
10/20/2025,11/21/2025,DOV,0.013198869,C,SPATI,179.64
10/20/2025,11/21/2025,ECL,0.015174044,C,SPATI,250.19
10/20/2025,11/21/2025,ED,0.014669946,C,SPATI,107.8
10/20/2025,11/21/2025,EMR,0.013027169,C,SPATI,113.11
10/20/2025,11/21/2025,ERIE,0.012767389,C,SPATI,386.98
10/20/2025,11/21/2025,ES,0.016164703,C,SPATI,60.93
10/20/2025,11/21/2025,ESS,0.013364115,C,SPATI,281.2
10/20/2025,11/21/2025,EXPD,0.015184623,C,SPATI,114.19
10/20/2025,11/21/2025,FAST,0.013106191,C,SPATI,74.73
10/20/2025,11/21/2025,FDS,0.010063054,C,SPATI,432.86
10/20/2025,11/21/2025,FRT,0.015455391,C,SPATI,95.1
10/20/2025,11/21/2025,GD,0.015590758,C,SPATI,263.41
10/20/2025,11/21/2025,GPC,0.014782407,C,SPATI,117.31
10/20/2025,11/21/2025,GWW,0.01342766,C,SPATI,1131.28
10/20/2025,11/21/2025,HRL,0.012133612,C,SPATI,29.98
10/20/2025,11/21/2025,IBM,0.015974173,C,SPATI,225.66
10/20/2025,11/21/2025,ITW,0.01408436,C,SPATI,251.34
