source,date,fund,fund_ticker,bbg_ticker,eqyticker,sedol,shares_cust,quantity,category_description,asset_group,price,market_value,GICS_SECTOR_NAME,GICS_INDUSTRY_NAME,GICS_INDUSTRY_GROUP_NAME
umb,2026-05-13,P2726,P2726,P2726,AAPL,,7574.0,7574.0,COMMON,,298.87,2263641.38,Information Technology,"Technology Hardware, Storage & Peripherals",Technology Hardware & Equipment
umb,2026-05-13,P2726,P2726,P2726,ABBV,,1063.0,1063.0,COMMON,,208.5,221635.5,Health Care,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences"
umb,2026-05-13,P2726,P2726,P2726,ABT,,1896.0,1896.0,COMMON,,83.83,158941.68,Health Care,Health Care Equipment & Supplies,Health Care Equipment & Services
umb,2026-05-13,P2726,P2726,P2726,ACN,,500.0,500.0,COMMON,,159.64,79820.0,Information Technology,IT Services,Software & Services
umb,2026-05-13,P2726,P2726,P2726,ADBE,,337.0,337.0,COMMON,,236.07,79555.59,Information Technology,Software,Software & Services
umb,2026-05-13,P2726,P2726,P2726,AMAT,,475.0,475.0,COMMON,,436.61,207389.75,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment
umb,2026-05-13,P2726,P2726,P2726,AMD,,972.0,972.0,COMMON,,445.5,433026.0,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment
umb,2026-05-13,P2726,P2726,P2726,AMGN,,324.0,324.0,COMMON,,336.45,109009.8,Health Care,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences"
umb,2026-05-13,P2726,P2726,P2726,AMT,,2399.0,2399.0,REIT,,173.87,417114.13,Real Estate,Specialized REITs,Equity Real Estate Investment Trusts
umb,2026-05-13,P2726,P2726,P2726,AMZN,,5721.0,5721.0,COMMON,,270.13,1545413.73,Consumer Discretionary,Broadline Retail,Consumer Discretionary Distribution & Retail
umb,2026-05-13,P2726,P2726,P2726,AVGO,,2818.0,2818.0,COMMON,,416.79,1174514.22,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment
umb,2026-05-13,P2726,P2726,P2726,AXP,,411.0,411.0,COMMON,,309.61,127249.71,Financials,Consumer Finance,Financial Services
umb,2026-05-13,P2726,P2726,P2726,BA,,867.0,867.0,COMMON,,240.6,208600.2,Industrials,Aerospace & Defense,Capital Goods
umb,2026-05-13,P2726,P2726,P2726,BAC,,4048.0,4048.0,COMMON,,49.84,201752.32,Financials,Banks,Banks
umb,2026-05-13,P2726,P2726,P2726,BKNG,,888.0,888.0,COMMON,,155.03,137666.64,Consumer Discretionary,"Hotels, Restaurants & Leisure",Consumer Services
umb,2026-05-13,P2726,P2726,P2726,BLK,,110.0,110.0,COMMON,,1094.1,120351.0,Financials,Capital Markets,Financial Services
umb,2026-05-13,P2726,P2726,P2726,BMY,,1225.0,1225.0,COMMON,,56.39,69077.75,Health Care,Pharmaceuticals,"Pharmaceuticals, Biotechnology & Life Sciences"
umb,2026-05-13,P2726,P2726,P2726,BRK/B,,1400.0,1400.0,COMMON,,485.52,679728.0,Financials,Financial Services,Financial Services
umb,2026-05-13,P2726,P2726,P2726,C,,1078.0,1078.0,COMMON,,124.1,133779.8,Financials,Banks,Banks
umb,2026-05-13,P2726,P2726,P2726,CAT,,519.0,519.0,COMMON,,902.3,468293.7,Industrials,Machinery,Capital Goods
umb,2026-05-13,P2726,P2726,P2726,CB,,1738.0,1738.0,COMMON,,316.01,549225.38,Financials,Insurance,Insurance
umb,2026-05-13,P2726,P2726,P2726,CL,,549.0,549.0,COMMON,,87.87,48240.63,Consumer Staples,Household Products,Household & Personal Products
umb,2026-05-13,P2726,P2726,P2726,CMCSA,,2155.0,2155.0,COMMON,,24.94,53745.7,Communication Services,Diversified Telecommunication Services,Telecommunication Services
umb,2026-05-13,P2726,P2726,P2726,COP,,1172.0,1172.0,COMMON,,117.4,137592.8,Energy,"Oil, Gas & Consumable Fuels",Energy
umb,2026-05-13,P2726,P2726,P2726,COST,,271.0,271.0,COMMON,,1033.08,279964.68,Consumer Staples,Consumer Staples Distribution & Retail,Consumer Staples Distribution & Retail
umb,2026-05-13,P2726,P2726,P2726,CRM,,767.0,767.0,COMMON,,165.84,127199.28,Information Technology,Software,Software & Services
umb,2026-05-13,P2726,P2726,P2726,CSCO,,8207.0,8207.0,COMMON,,101.87,836047.09,Information Technology,Communications Equipment,Technology Hardware & Equipment
umb,2026-05-13,P2726,P2726,P2726,CVS,,1384.0,1384.0,COMMON,,98.11,135784.24,Health Care,Health Care Providers & Services,Health Care Equipment & Services
umb,2026-05-13,P2726,P2726,P2726,CVX,,1795.0,1795.0,COMMON,,186.0,333870.0,Energy,"Oil, Gas & Consumable Fuels",Energy
umb,2026-05-13,P2726,P2726,P2726,DE,,279.0,279.0,COMMON,,580.65,162001.35,Industrials,Machinery,Capital Goods
umb,2026-05-13,P2726,P2726,P2726,DHR,,378.0,378.0,COMMON,,165.99,62744.22,Health Care,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology & Life Sciences"
umb,2026-05-13,P2726,P2726,P2726,DIS,,1059.0,1059.0,COMMON,,104.9,111089.1,Communication Services,Entertainment,Media & Entertainment
umb,2026-05-13,P2726,P2726,P2726,DUK,,1493.0,1493.0,COMMON,,123.9,184982.7,Utilities,Electric Utilities,Utilities
umb,2026-05-13,P2726,P2726,P2726,ELV,,242.0,242.0,COMMON,,399.64,96712.88,Health Care,Health Care Providers & Services,Health Care Equipment & Services
umb,2026-05-13,P2726,P2726,P2726,EMR,,622.0,622.0,COMMON,,137.76,85686.72,Industrials,Electrical Equipment,Capital Goods
umb,2026-05-13,P2726,P2726,P2726,ETN,,431.0,431.0,COMMON,,406.94,175391.14,Industrials,Electrical Equipment,Capital Goods
umb,2026-05-13,P2726,P2726,P2726,FDX,,191.0,191.0,COMMON,,369.7,70612.7,Industrials,Air Freight & Logistics,Transportation
umb,2026-05-13,P2726,P2726,P2726,GE,,1169.0,1169.0,COMMON,,294.71,344515.99,Industrials,Aerospace & Defense,Capital Goods
umb,2026-05-13,P2726,P2726,P2726,GILD,,747.0,747.0,COMMON,,133.05,99388.35,Health Care,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences"
umb,2026-05-13,P2726,P2726,P2726,GOOG,,2383.0,2383.0,COMMON,,399.04,950912.32,Communication Services,Interactive Media & Services,Media & Entertainment
umb,2026-05-13,P2726,P2726,P2726,GOOGL,,2983.0,2983.0,COMMON,,402.62,1201015.46,Communication Services,Interactive Media & Services,Media & Entertainment
umb,2026-05-13,P2726,P2726,P2726,GS,,229.0,229.0,COMMON,,955.42,218791.18,Financials,Capital Markets,Financial Services
umb,2026-05-13,P2726,P2726,P2726,HD,,585.0,585.0,COMMON,,302.55,176991.75,Consumer Discretionary,Specialty Retail,Consumer Discretionary Distribution & Retail
umb,2026-05-13,P2726,P2726,P2726,HON,,704.0,704.0,COMMON,,217.96,153443.84,Industrials,Industrial Conglomerates,Capital Goods
umb,2026-05-13,P2726,P2726,P2726,IBM,,753.0,753.0,COMMON,,214.64,161623.92,Information Technology,IT Services,Software & Services
umb,2026-05-13,P2726,P2726,P2726,INTC,,2675.0,2675.0,COMMON,,120.29,321775.75,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment
