source,date,fund,fund_ticker,bbg_ticker,optticker,shares_cust,quantity,category_description,asset_group,price,market_value,cusip,maturity_date
umb,2026-05-13,P2726,P2726,P2726,AAPL US 05/15/26 C292.5,-16.0,-16.0,OPTC_EQY,,7.22,-11560.0,71799V0Q1,
umb,2026-05-13,P2726,P2726,P2726,ABBV US 05/15/26 C200,-2.0,-2.0,OPTC_EQY,,8.48,-1695.0,5XI99L2D0,
umb,2026-05-13,P2726,P2726,P2726,ABT US 05/15/26 C85,-4.0,-4.0,OPTC_EQY,,0.45,-180.0,5QI99J7V5,
umb,2026-05-13,P2726,P2726,P2726,ACN US 05/15/26 C180,-1.0,-1.0,OPTC_EQY,,0.02,-2.5,5I599UPL4,
umb,2026-05-13,P2726,P2726,P2726,ADBE US 05/15/26 C252.5,-1.0,-1.0,OPTC_EQY,,0.22,-22.0,6IY99SJV1,
umb,2026-05-13,P2726,P2726,P2726,AMAT US 05/15/26 C435,-1.0,-1.0,OPTC_EQY,,17.38,-1737.5,6PI99MK02,
umb,2026-05-13,P2726,P2726,P2726,AMD US 05/15/26 C447.5,-2.0,-2.0,OPTC_EQY,,9.88,-1975.0,70199GEC8,
umb,2026-05-13,P2726,P2726,P2726,AMGN US 05/15/26 C330,-1.0,-1.0,OPTC_EQY,,7.32,-732.5,657992RR6,
umb,2026-05-13,P2726,P2726,P2726,AMT US 05/15/26 C175,-5.0,-5.0,OPTC_EQY,,1.5,-750.0,49E99VGG4,
umb,2026-05-13,P2726,P2726,P2726,AMZN US 05/15/26 C272.5,-12.0,-12.0,OPTC_EQY,,1.7,-2040.0,70899E5Z5,
umb,2026-05-13,P2726,P2726,P2726,AVGO US 05/15/26 C430,-6.0,-6.0,OPTC_EQY,,2.23,-1338.0,5IC993C55,
umb,2026-05-13,P2726,P2726,P2726,AXP US 05/15/26 C315,-1.0,-1.0,OPTC_EQY,,0.98,-98.0,6I2992UW8,
umb,2026-05-13,P2726,P2726,P2726,BA US 05/15/26 C237.5,-2.0,-2.0,OPTC_EQY,,5.35,-1070.0,6XI9993U7,
umb,2026-05-13,P2726,P2726,P2726,BAC US 05/15/26 C51.5,-9.0,-9.0,OPTC_EQY,,0.08,-76.5,6I099WH25,
umb,2026-05-13,P2726,P2726,P2726,BKNG US 05/15/26 C166.8,-2.0,-2.0,OPTC_EQY,,0.25,-50.0,6IW995GI5,
umb,2026-05-13,P2726,P2726,P2726,BMY US 05/15/26 C56,-3.0,-3.0,OPTC_EQY,,0.8,-241.5,6Z79941X1,
umb,2026-05-13,P2726,P2726,P2726,BRKB US 05/15/26 C477.5,-3.0,-3.0,OPTC_EQY,,8.75,-2625.0,6QP99IGJ5,
umb,2026-05-13,P2726,P2726,P2726,C US 05/15/26 C126,-2.0,-2.0,OPTC_EQY,,0.6,-120.0,69999MWJ4,
umb,2026-05-13,P2726,P2726,P2726,CAT US 05/15/26 C895,-1.0,-1.0,OPTC_EQY,,15.02,-1502.5,6ZI991M79,
