fund,fund_ticker,bbg_ticker,date,eqyticker,shares_vest,shares_cust,price_vest,price_cust,shares_diff,price_diff,discrepancy_type
P2726,P2726,P2726,2026-05-13,AAPL,7574.0,7574.0,296.72,298.87,0.0,-2.15,Match
P2726,P2726,P2726,2026-05-13,AAPL,7574.0,7574.0,296.72,298.87,0.0,-2.15,Match
P2726,P2726,P2726,2026-05-13,AAPL,7574.0,7574.0,298.87,298.87,0.0,0.0,Match
P2726,P2726,P2726,2026-05-13,ABBV,1063.0,1063.0,206.39,208.5,0.0,-2.11,Match
P2726,P2726,P2726,2026-05-13,ABBV,1063.0,1063.0,206.39,208.5,0.0,-2.11,Match
P2726,P2726,P2726,2026-05-13,ABBV,1063.0,1063.0,208.5,208.5,0.0,0.0,Match
P2726,P2726,P2726,2026-05-13,ABT,1896.0,1896.0,83.83,83.83,0.0,0.0,Match
P2726,P2726,P2726,2026-05-13,ABT,1896.0,1896.0,83.44,83.83,0.0,-0.39,Match
P2726,P2726,P2726,2026-05-13,ABT,1896.0,1896.0,83.44,83.83,0.0,-0.39,Match
P2726,P2726,P2726,2026-05-13,ACN,500.0,500.0,166.62,159.64,0.0,6.98,Match
P2726,P2726,P2726,2026-05-13,ACN,500.0,500.0,159.64,159.64,0.0,0.0,Match
P2726,P2726,P2726,2026-05-13,ACN,500.0,500.0,166.62,159.64,0.0,6.98,Match
P2726,P2726,P2726,2026-05-13,ADBE,337.0,337.0,237.19,236.07,0.0,1.12,Match
P2726,P2726,P2726,2026-05-13,ADBE,337.0,337.0,237.19,236.07,0.0,1.12,Match
P2726,P2726,P2726,2026-05-13,ADBE,337.0,337.0,236.07,236.07,0.0,0.0,Match
P2726,P2726,P2726,2026-05-13,AMAT,475.0,475.0,436.61,436.61,0.0,0.0,Match
P2726,P2726,P2726,2026-05-13,AMAT,475.0,475.0,431.5,436.61,0.0,-5.11,Match
P2726,P2726,P2726,2026-05-13,AMAT,475.0,475.0,431.5,436.61,0.0,-5.11,Match
P2726,P2726,P2726,2026-05-13,AMD,972.0,972.0,448.67,445.5,0.0,3.17,Match
