fund_ticker,bbg_ticker,date,analysis_type,eqyticker,sedol,figi,nav_shares,iiv_shares,iiv_shares_tminus_one,trade_rebal,nav_wgt_begin,nav_wgt_end,nav_wgt_diff,index_iiv_wgt,dividend,price,equity_market_value,GICS_SECTOR_NAME,GICS_INDUSTRY_NAME,GICS_INDUSTRY_GROUP_NAME,REGULATORY_STRUCTURE,SECURITY_TYP,EQY_SH_OUT,EQY_SH_OUT_million
P2726,P2726,2026-05-13,eod,AAPL,2046251,BBG000B9XRY4,7574.0,7574.0,7574.0,0.0,0.069119,0.069612,-3e-06,0.069615,0.0,298.87,2263641.38,Information Technology,"Technology Hardware, Storage & Peripherals",Technology Hardware & Equipment,,Common Stock,14687.36,14687360000.0
P2726,P2726,2026-05-13,eod,ABBV,B92SR70,BBG0025Y4RY4,1063.0,1063.0,1063.0,0.0,0.00684,0.006816,-4e-06,0.006819,0.0,208.5,221635.5,Health Care,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",,Common Stock,1766.793,1766793000.0
P2726,P2726,2026-05-13,eod,ABT,2002305,BBG000B9ZXB4,1896.0,1896.0,1896.0,0.0,0.004951,0.004888,-1e-06,0.004889,0.0,83.83,158941.68,Health Care,Health Care Equipment & Supplies,Health Care Equipment & Services,,Common Stock,1741.812,1741812000.0
P2726,P2726,2026-05-13,eod,ACN,B4BNMY3,BBG000D9D830,500.0,500.0,500.0,0.0,0.002628,0.002455,2e-06,0.002453,0.0,159.64,79820.0,Information Technology,IT Services,Software & Services,,Common Stock,613.9393,613939300.0
P2726,P2726,2026-05-13,eod,ADBE,2008154,BBG000BB5006,337.0,337.0,337.0,0.0,0.002512,0.002447,-2e-06,0.002448,0.0,236.07,79555.59,Information Technology,Software,Software & Services,,Common Stock,404.2,404200000.0
P2726,P2726,2026-05-13,eod,AMAT,2046552,BBG000BBPFB9,475.0,475.0,475.0,0.0,0.00634,0.006378,-5e-06,0.006382,0.0,436.61,207389.75,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,,Common Stock,793.9594,793959400.0
P2726,P2726,2026-05-13,eod,AMD,2007849,BBG000BBQCY0,972.0,972.0,972.0,0.0,0.013489,0.013317,8e-06,0.013309,0.0,445.5,433026.0,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,,Common Stock,1630.601,1630601000.0
P2726,P2726,2026-05-13,eod,AMGN,2023607,BBG000BBS2Y0,324.0,324.0,324.0,0.0,0.003373,0.003352,0.0,0.003353,0.0,336.45,109009.8,Health Care,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",,Common Stock,539.7083,539708300.0
P2726,P2726,2026-05-13,eod,AMT,B7FBFL2,BBG000B9XYV2,2399.0,2399.0,2399.0,0.0,0.01328,0.012827,-4e-06,0.012831,0.0,173.87,417114.13,Real Estate,Specialized REITs,Equity Real Estate Investment Trusts,,REIT,465.8931,465893100.0
P2726,P2726,2026-05-13,eod,AMZN,2000019,BBG000BVPV84,5721.0,5721.0,5721.0,0.0,0.047076,0.047525,-7e-06,0.047532,0.0,270.13,1545413.73,Consumer Discretionary,Broadline Retail,Consumer Discretionary Distribution & Retail,,Common Stock,10757.11,10757110000.0
P2726,P2726,2026-05-13,eod,AVGO,BDZ78H9,BBG00KHY5S69,2818.0,2818.0,2818.0,0.0,0.036577,0.036119,4e-06,0.036115,0.0,416.79,1174514.22,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,,Common Stock,4734.668,4734668000.0
P2726,P2726,2026-05-13,eod,AXP,2026082,BBG000BCQZS4,411.0,411.0,411.0,0.0,0.003999,0.003913,7e-06,0.003906,0.0,309.61,127249.71,Financials,Consumer Finance,Financial Services,,Common Stock,682.3264,682326400.0
P2726,P2726,2026-05-13,eod,BA,2108601,BBG000BCSST7,867.0,867.0,867.0,0.0,0.006357,0.006415,-5e-06,0.00642,0.0,240.6,208600.2,Industrials,Aerospace & Defense,Capital Goods,,Common Stock,788.3023,788302300.0
