fund,fund_ticker,bbg_ticker,date,optticker,shares_vest,shares_cust,price_vest,price_cust,shares_diff,price_diff,discrepancy_type
P2726,P2726,P2726,2026-05-13,AAPL US 05/15/26 C292.5,-16.0,-16.0,5.5,7.22,0.0,-1.72,Match
P2726,P2726,P2726,2026-05-13,AAPL US 05/15/26 C292.5,-16.0,-16.0,7.25,7.22,0.0,0.03,Match
P2726,P2726,P2726,2026-05-13,AAPL US 05/15/26 C292.5,-16.0,-16.0,5.5,7.22,0.0,-1.72,Match
P2726,P2726,P2726,2026-05-13,ABBV US 05/15/26 C200,-2.0,-2.0,8.33,8.48,0.0,-0.15,Match
P2726,P2726,P2726,2026-05-13,ABBV US 05/15/26 C200,-2.0,-2.0,8.33,8.48,0.0,-0.15,Match
P2726,P2726,P2726,2026-05-13,ABBV US 05/15/26 C200,-2.0,-2.0,8.6,8.48,0.0,0.12,Match
P2726,P2726,P2726,2026-05-13,ABT US 05/15/26 C85,-4.0,-4.0,0.35,0.45,0.0,-0.1,Match
P2726,P2726,P2726,2026-05-13,ABT US 05/15/26 C85,-4.0,-4.0,0.35,0.45,0.0,-0.1,Match
P2726,P2726,P2726,2026-05-13,ABT US 05/15/26 C85,-4.0,-4.0,0.45,0.45,0.0,0.0,Match
P2726,P2726,P2726,2026-05-13,ACN US 05/15/26 C180,-1.0,-1.0,0.05,0.02,0.0,0.03,Match
P2726,P2726,P2726,2026-05-13,ACN US 05/15/26 C180,-1.0,-1.0,0.13,0.02,0.0,0.11,Match
P2726,P2726,P2726,2026-05-13,ACN US 05/15/26 C180,-1.0,-1.0,0.13,0.02,0.0,0.11,Match
P2726,P2726,P2726,2026-05-13,ADBE US 05/15/26 C252.5,-1.0,-1.0,0.3,0.22,0.0,0.08,Match
P2726,P2726,P2726,2026-05-13,ADBE US 05/15/26 C252.5,-1.0,-1.0,0.3,0.22,0.0,0.08,Match
P2726,P2726,P2726,2026-05-13,ADBE US 05/15/26 C252.5,-1.0,-1.0,0.23,0.22,0.0,0.01,Match
P2726,P2726,P2726,2026-05-13,AMAT US 05/15/26 C435,-1.0,-1.0,16.9,17.38,0.0,-0.48,Match
P2726,P2726,P2726,2026-05-13,AMAT US 05/15/26 C435,-1.0,-1.0,14.2,17.38,0.0,-3.18,Match
P2726,P2726,P2726,2026-05-13,AMAT US 05/15/26 C435,-1.0,-1.0,14.2,17.38,0.0,-3.18,Match
