fund_ticker,bbg_ticker,date,analysis_type,optticker,maturity,figi,occ_symbol,equity_underlying_ticker,equity_underlying_price,delta,strike,nav_shares,iiv_shares,trade_rebal,price,option_notional_value,option_market_value,option_delta_adjusted_notional,option_delta_adjusted_market_value,GICS_SECTOR_NAME,GICS_INDUSTRY_NAME,GICS_INDUSTRY_GROUP_NAME,REGULATORY_STRUCTURE,SECURITY_TYP
P2726,P2726,2026-05-13,eod,4SPX US 07/31/26 C5000.01,2026-07-31,,4SPX  260731C05000010,SC31761B,7444.25,-0.9854327,5000.01,-4,,,2440.37,-2977700.0,-976148.0,2934322.95079,961928.1592396,,,,,
P2726,P2726,2026-05-13,eod,4SPX US 07/31/26 C6000.01,2026-07-31,,4SPX  260731C06000010,SC31763B,7444.25,0.9481596,6000.01,4,,,1463.45,2977700.0,585380.0,2823334.84092,555033.666648,,,,,
P2726,P2726,2026-05-13,eod,4SPX US 07/31/26 P5000.01,2026-07-31,,4SPX  260731P05000010,SP31762B,7444.25,-0.0163637,5000.01,4,,,8.58,2977700.0,3432.0,-48726.18949,-56.1602184,,,,,
P2726,P2726,2026-05-13,eod,4SPX US 07/31/26 P5346.56,2026-07-31,,4SPX  260731P05346560,SP31765B,7444.25,-0.0241307,5346.56,62,,,11.91,46154350.0,73842.0,-1113736.773545,-1781.8591494,,,,,
P2726,P2726,2026-05-13,eod,4SPX US 07/31/26 P6000.01,2026-07-31,,4SPX  260731P06000010,SP31764B,7444.25,0.0536368,6000.01,-4,,,23.73,-2977700.0,-9492.0,-159714.29936,-509.1205056,,,,,
P2726,P2726,2026-05-13,eod,4XSP US 07/31/26 P534.66,2026-07-31,,4XSP  260731P00534660,XP31765B,744.43,-0.0243791,534.66,19,,,1.21,1414417.0,2299.0,-34482.2134847,-56.0475509,,,,,
P2726,P2726,2026-05-13,eod,AAPL US 05/15/26 C292.5,2026-05-15,,AAPL  260515C00292500,AAPL,298.87,0.809839,292.5,-16,,,7.25,-478192.0,-11600.0,-387258.531088,-9394.1324,Information Technology,"Technology Hardware, Storage & Peripherals",Technology Hardware & Equipment,,Common Stock
P2726,P2726,2026-05-13,eod,ABBV US 05/15/26 C200,2026-05-15,,ABBV  260515C00200000,ABBV,208.5,0.9397075,200.0,-2,,,8.6,-41700.0,-1720.0,-39185.80275,-1616.2969,Health Care,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",,Common Stock
P2726,P2726,2026-05-13,eod,ABT US 05/15/26 C85,2026-05-15,,ABT   260515C00085000,ABT,83.83,0.311151,85.0,-4,,,0.45,-33532.0,-180.0,-10433.515332,-56.00718,Health Care,Health Care Equipment & Supplies,Health Care Equipment & Services,,Common Stock
P2726,P2726,2026-05-13,eod,ACN US 05/15/26 C180,2026-05-15,,ACN   260515C00180000,ACN,159.64,0.015964,180.0,-1,,,0.05,-15964.0,-5.0,-254.849296,-0.07982,Information Technology,IT Services,Software & Services,,Common Stock
P2726,P2726,2026-05-13,eod,ADBE US 05/15/26 C252.5,2026-05-15,,ADBE  260515C00252500,ADBE,236.07,0.054041,252.5,-1,,,0.23,-23607.0,-23.0,-1275.745887,-1.242943,Information Technology,Software,Software & Services,,Common Stock
